보안등표찰명,소재지지번주소,경도,위도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
충현동9977,서울특별시 서대문구 미근동31-6,126.9671091,37.5642355,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9040,서울특별시 서대문구 미근동60-1,126.9666516,37.562943,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9051,서울특별시 서대문구 미근동60-3,126.9664374,37.562878,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9044,서울특별시 서대문구 미근동65-6,126.9666531,37.5628349,통신주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9039,서울특별시 서대문구 미근동66-5,126.9667516,37.563079,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동6006,서울특별시 서대문구 미근동67-1,126.9668104,37.5629173,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동6038,서울특별시 서대문구 미근동67-1,126.9668104,37.5629173,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9045,서울특별시 서대문구 미근동67-1,126.9668104,37.5629173,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9038,서울특별시 서대문구 미근동67-1,126.9668104,37.5629173,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9037,서울특별시 서대문구 미근동72-1,126.9670085,37.5633245,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9028,서울특별시 서대문구 미근동72-1,126.9670085,37.5633245,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9040-1,서울특별시 서대문구 미근동72-2,126.9670329,37.5631986,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9027,서울특별시 서대문구 미근동72-4,126.9670456,37.5630996,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9026,서울특별시 서대문구 미근동72-5,126.9671821,37.5630467,통신주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동10224,서울특별시 서대문구 미근동72-6,126.9670245,37.5629823,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9025,서울특별시 서대문구 미근동74-1,126.9672178,37.5629209,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동10222,서울특별시 서대문구 미근동74-4,126.9670939,37.5628748,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동10073,서울특별시 서대문구 미근동74-4,126.9670939,37.5628748,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9047,서울특별시 서대문구 미근동76-1,126.9671971,37.5627856,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9023,서울특별시 서대문구 미근동82-1,126.9675041,37.5626801,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9021,서울특별시 서대문구 미근동90-5,126.9678009,37.5625025,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9048,서울특별시 서대문구 미근동99-1,126.9670767,37.5624872,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9032,서울특별시 서대문구 미근동22-1,126.9667319,37.5636825,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9031,서울특별시 서대문구 미근동23-1,126.9667557,37.5636016,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9035,서울특별시 서대문구 미근동31-12,126.9669718,37.5643424,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9043,서울특별시 서대문구 미근동102-1,126.9668028,37.562647,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동10084,서울특별시 서대문구 미근동106-6,126.9658329,37.5623952,전용주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동10080,서울특별시 서대문구 미근동106-6,126.9658329,37.5623952,전용주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9435,서울특별시 서대문구 미근동31-13,126.9669932,37.5644327,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9034,서울특별시 서대문구 미근동31-14,126.9668691,37.5644046,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9052,서울특별시 서대문구 미근동60-20,126.9663838,37.5626613,통신주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9050,서울특별시 서대문구 미근동60-20,126.9663838,37.5626613,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9049,서울특별시 서대문구 미근동60-24,126.9663506,37.562607,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9022,서울특별시 서대문구 미근동90-14,126.9676313,37.562483,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동6062,서울특별시 서대문구 북아현동1009,126.9500105,37.5590659,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5012,서울특별시 서대문구 북아현동2-8,126.9569133,37.5632268,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5091,서울특별시 서대문구 북아현동113-22,126.9594438,37.5611407,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동10172,서울특별시 서대문구 북아현동118-42,126.9560444,37.561417,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동10097,서울특별시 서대문구 북아현동125-38,126.9572508,37.5584993,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4012,서울특별시 서대문구 북아현동127-3,126.9568264,37.5605319,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4022,서울특별시 서대문구 북아현동1-317,126.9571696,37.5651392,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4004,서울특별시 서대문구 북아현동1-420,126.9568355,37.5655597,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4173,서울특별시 서대문구 북아현동1-49,126.957339,37.5643568,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동348,서울특별시 서대문구 북아현동1-703,126.9589083,37.5654609,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4018,서울특별시 서대문구 북아현동4-87,126.9565317,37.5605563,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
북아현동5005,서울특별시 서대문구 북아현동303,126.960536,37.5607358,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5434,서울특별시 서대문구 북아현동348,126.9606112,37.5602139,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5035,서울특별시 서대문구 북아현동547,126.9600901,37.5602453,통신주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동6063,서울특별시 서대문구 북아현동1009,126.9500105,37.5590659,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5021,서울특별시 서대문구 북아현동1-15,126.9558205,37.5628567,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4013,서울특별시 서대문구 북아현동1-17,126.9588767,37.5644785,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4031,서울특별시 서대문구 북아현동1-18,126.9586949,37.564531,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4032,서울특별시 서대문구 북아현동1-21,126.9585739,37.5642776,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동8812,서울특별시 서대문구 북아현동1-30,126.9578549,37.5638838,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동6003,서울특별시 서대문구 북아현동1-30,126.9578549,37.5638838,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5010,서울특별시 서대문구 북아현동2-2,126.956673,37.5634138,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5017,서울특별시 서대문구 북아현동2-19,126.9564732,37.5631328,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5014,서울특별시 서대문구 북아현동3-2,126.9570867,37.562967,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동6050,서울특별시 서대문구 북아현동3-9,126.956536,37.5626828,전용주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5016,서울특별시 서대문구 북아현동3-10,126.9565127,37.5627367,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동6025,서울특별시 서대문구 북아현동3-24,126.9561673,37.5623371,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동8809,서울특별시 서대문구 북아현동3-31,126.9558826,37.5624608,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3052,서울특별시 서대문구 북아현동9-1,126.9575769,37.5586554,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4053,서울특별시 서대문구 북아현동1-102,126.9535522,37.5648009,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동1088,서울특별시 서대문구 북아현동1-1058,126.951793,37.5611,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4067,서울특별시 서대문구 북아현동1-106,126.9540104,37.5644085,통신주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동1055,서울특별시 서대문구 북아현동1-1088,126.9514226,37.5608715,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동1056,서울특별시 서대문구 북아현동1-1107,126.9511884,37.5606261,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4077,서울특별시 서대문구 북아현동1-111,126.9545431,37.5643591,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3025,서울특별시 서대문구 북아현동1-1121,126.9517013,37.5668298,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3022,서울특별시 서대문구 북아현동1-1122,126.9516922,37.5666765,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3016,서울특별시 서대문구 북아현동1-1130,126.9518093,37.5655873,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3059,서울특별시 서대문구 북아현동1-1142,126.9530392,37.5666795,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4039,서울특별시 서대문구 북아현동1-1144,126.9568058,37.5644422,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동2215,서울특별시 서대문구 북아현동1-1163,126.9511636,37.5648157,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동8432,서울특별시 서대문구 충정로2가86-1,126.9622878,37.5601115,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3060,서울특별시 서대문구 북아현동1-1183,126.9531589,37.5670229,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동2112,서울특별시 서대문구 북아현동1-1193,126.9514974,37.5644222,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4172,서울특별시 서대문구 북아현동1-1198,126.9578024,37.5652169,통신주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4036,서울특별시 서대문구 북아현동1-1211,126.9578825,37.5643436,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3063,서울특별시 서대문구 북아현동1-1245,126.9536036,37.5667926,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3062,서울특별시 서대문구 북아현동1-1275,126.9537133,37.5670368,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5075,서울특별시 서대문구 북아현동113-61,126.9586749,37.5618998,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5073,서울특별시 서대문구 북아현동113-61,126.9586749,37.5618998,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5086,서울특별시 서대문구 북아현동113-61,126.9586749,37.5618998,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5079,서울특별시 서대문구 북아현동113-61,126.9586749,37.5618998,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5078,서울특별시 서대문구 북아현동113-63,126.9589816,37.5618214,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5088,서울특별시 서대문구 북아현동113-67,126.9592745,37.5619231,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3058,서울특별시 서대문구 북아현동1-1377,126.9534931,37.5665934,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4056,서울특별시 서대문구 북아현동114-1,126.9588341,37.5610362,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4059,서울특별시 서대문구 북아현동114-1,126.9588341,37.5610362,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5013,서울특별시 서대문구 북아현동1-149,126.9570051,37.5631375,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4106,서울특별시 서대문구 북아현동1-153,126.9571969,37.5639951,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4118,서울특별시 서대문구 북아현동1-154,126.9570308,37.5637324,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동1060,서울특별시 서대문구 북아현동1-1566,126.9505812,37.5603414,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3105,서울특별시 서대문구 북아현동1-1594,126.9560904,37.565418,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4108,서울특별시 서대문구 북아현동1-160,126.9575687,37.5641156,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3032,서울특별시 서대문구 북아현동1-1616,126.9520207,37.5674633,전용주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3061,서울특별시 서대문구 북아현동1-1620,126.9517133,37.5675958,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3086,서울특별시 서대문구 북아현동1-1621,126.9556831,37.5662163,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3088,서울특별시 서대문구 북아현동1-1621,126.9556831,37.5662163,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3401,서울특별시 서대문구 북아현동1-1621,126.9556831,37.5662163,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4016,서울특별시 서대문구 북아현동1-1625,126.9580781,37.564931,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5023,서울특별시 서대문구 북아현동1-165,126.955942,37.563074,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3096,서울특별시 서대문구 북아현동1-1654,126.9542322,37.5655457,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3114,서울특별시 서대문구 북아현동1-1657,126.956254,37.56505,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5024,서울특별시 서대문구 북아현동1-166,126.9558405,37.5630461,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4011,서울특별시 서대문구 북아현동1-1667,126.9584063,37.5649339,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3108,서울특별시 서대문구 북아현동1-1671,126.9559565,37.5652817,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3106,서울특별시 서대문구 북아현동1-1672,126.95607,37.5652556,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동2,서울특별시 서대문구 북아현동1-1672,126.95607,37.5652556,전용주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3116,서울특별시 서대문구 북아현동1-1765,126.9569909,37.5649664,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동8808,서울특별시 서대문구 북아현동1-1765,126.9569909,37.5649664,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동8801,서울특별시 서대문구 북아현동1-1767,126.9583208,37.5645727,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4037,서울특별시 서대문구 북아현동1-1819,126.9576213,37.5644044,통신주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5041,서울특별시 서대문구 북아현동118-2,126.956943,37.5619115,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4086,서울특별시 서대문구 북아현동1-1821,126.9556889,37.56418,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3305,서울특별시 서대문구 북아현동1-1829,126.9562007,37.5656262,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4017,서울특별시 서대문구 북아현동118-36,126.956407,37.5613842,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4096,서울특별시 서대문구 북아현동1-1836,126.9556202,37.5634226,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동1058,서울특별시 서대문구 북아현동1-1840,126.9510085,37.5605434,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5039,서울특별시 서대문구 북아현동118-72,126.9567392,37.5619097,전용주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5040,서울특별시 서대문구 북아현동118-73,126.9567513,37.5618557,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5037,서울특별시 서대문구 북아현동118-74,126.9566492,37.5618729,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5033,서울특별시 서대문구 북아현동118-78,126.9564466,37.56179,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5036,서울특별시 서대문구 북아현동118-81,126.9563333,37.561798,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5034,서울특별시 서대문구 북아현동118-84,126.9561184,37.5617871,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5031,서울특별시 서대문구 북아현동118-84,126.9561184,37.5617871,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5032,서울특별시 서대문구 북아현동118-84,126.9561184,37.5617871,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5030,서울특별시 서대문구 북아현동118-85,126.9560055,37.5617681,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3404,서울특별시 서대문구 북아현동1-209,126.9542695,37.5653118,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4044,서울특별시 서대문구 북아현동1-218,126.9558633,37.5646591,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4083,서울특별시 서대문구 북아현동1-218,126.9558633,37.5646591,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4043,서울특별시 서대문구 북아현동1-74,126.9559993,37.5646423,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4076,서울특별시 서대문구 북아현동1-224,126.9548203,37.5639651,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4097,서울특별시 서대문구 북아현동1-225,126.9558655,37.563686,통신주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4109,서울특별시 서대문구 북아현동1-228,126.9575259,37.563944,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5029,서울특별시 서대문구 북아현동1-232,126.9552496,37.563212,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동8107,서울특별시 서대문구 충정로3가250-55,126.9622878,37.5601115,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5006,서울특별시 서대문구 북아현동1-236,126.955903,37.5634341,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4070,서울특별시 서대문구 북아현동1-239,126.9542103,37.5638786,통신주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5001,서울특별시 서대문구 북아현동1-244,126.9562617,37.5636895,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5005,서울특별시 서대문구 북아현동1-245,126.9562402,37.5636083,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4116,서울특별시 서대문구 북아현동1-250,126.9566909,37.5637564,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3057,서울특별시 서대문구 북아현동125-1,126.9578625,37.5592796,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4120,서울특별시 서대문구 북아현동1-251,126.956566,37.5637823,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동10052,서울특별시 서대문구 북아현동1-252,126.9565759,37.5638815,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4069,서울특별시 서대문구 북아현동1-253,126.9539009,37.5641462,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4112,서울특별시 서대문구 북아현동1-257,126.9573863,37.5634021,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4113,서울특별시 서대문구 북아현동1-257,126.9573863,37.5634021,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5227,서울특별시 서대문구 북아현동1-259,126.9557287,37.562946,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3112,서울특별시 서대문구 북아현동1-260,126.955926,37.5650291,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4073,서울특별시 서대문구 북아현동1-263,126.9545836,37.5638909,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4072,서울특별시 서대문구 북아현동1-265,126.9544809,37.5639531,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4100,서울특별시 서대문구 북아현동1-268,126.9560652,37.5639761,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4034,서울특별시 서대문구 북아현동1-270,126.9583241,37.5643295,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4033,서울특별시 서대문구 북아현동1-270,126.9583241,37.5643295,전용주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동10213,서울특별시 서대문구 북아현동1-271,126.9583258,37.5642123,통신주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4059-1,서울특별시 서대문구 북아현동1-278,126.9538023,37.564722,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4060,서울특별시 서대문구 북아현동1-281,126.9539164,37.5646599,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동1005,서울특별시 서대문구 북아현동1-286,126.9577415,37.5639008,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4111,서울특별시 서대문구 북아현동1-289,126.9572123,37.5636979,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4061,서울특별시 서대문구 북아현동1-290,126.9537262,37.564496,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4058,서울특별시 서대문구 북아현동1-290,126.9537262,37.564496,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4066,서울특별시 서대문구 북아현동1-292,126.9543155,37.5644472,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동5028,서울특별시 서대문구 북아현동1-300,126.9555821,37.5629086,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4084,서울특별시 서대문구 북아현동1-305,126.9561608,37.5644275,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4075,서울특별시 서대문구 북아현동1-312,126.9547841,37.564127,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4005,서울특별시 서대문구 북아현동1-316,126.957247,37.5652751,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3120,서울특별시 서대문구 북아현동1-317,126.9571696,37.5651392,통신주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4023,서울특별시 서대문구 북아현동1-317,126.9571696,37.5651392,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동10127,서울특별시 서대문구 북아현동1-318,126.9569971,37.5653359,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3113,서울특별시 서대문구 북아현동1-325,126.9561519,37.5650671,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3107,서울특별시 서대문구 북아현동1-325,126.9561519,37.5650671,전용주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3115,서울특별시 서대문구 북아현동1-326,126.9564015,37.5650243,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3104,서울특별시 서대문구 북아현동1-329,126.9556923,37.5655587,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3100,서울특별시 서대문구 북아현동1-330,126.9556829,37.5654144,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3099,서울특별시 서대문구 북아현동1-377,126.9554441,37.5654934,통신주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3110,서울특별시 서대문구 북아현동1-336,126.9555624,37.565134,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3095,서울특별시 서대문구 북아현동1-338,126.9547063,37.56564,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3097,서울특별시 서대문구 북아현동1-341,126.9552335,37.5651762,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3111,서울특별시 서대문구 북아현동1-342,126.9551567,37.5650043,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동4048,서울특별시 서대문구 북아현동1-343,126.9547823,37.565064,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3093,서울특별시 서대문구 북아현동1-344,126.9548366,37.5652267,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3071,서울특별시 서대문구 북아현동1-349,126.9540879,37.5653462,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3070,서울특별시 서대문구 북아현동1-351,126.9536148,37.5651798,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3270,서울특별시 서대문구 북아현동1-354,126.9536794,37.5654147,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동3069,서울특별시 서대문구 북아현동1-356,126.9534616,37.565611,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
