"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
02-02-04,1,서울특별시 도봉구 쌍문제2동 8-4,서울특별시 도봉구 쌍문제2동 8-4,127.037429,37.661148,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-03-04,1,서울특별시 도봉구 쌍문제2동 712-41,서울특별시 도봉구 쌍문제2동 712-41,127.039165,37.660372,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-19-04,1,서울특별시 도봉구 도봉제1동 537,서울특별시 도봉구 도봉제1동 537,127.019646,37.674353,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-23-04,1,서울특별시 도봉구 도봉제1동 605-27,서울특별시 도봉구 도봉제1동 605-27,127.04248,37.673274,2008-04-17,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-15-04,1,서울특별시 도봉구 도봉로169다길 37,서울특별시 도봉구 도봉제1동 598-2,127.042202,37.677838,2007-05-23,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-20-04,1,서울특별시 도봉구 도봉제1동 산104-1,서울특별시 도봉구 도봉제1동 산104-1,127.043062,37.67627,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-04-04,1,서울특별시 도봉구 도봉제1동 574-18,서울특별시 도봉구 도봉제1동 574-18,127.043239,37.685071,2007-07-20,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-17-05,1,서울특별시 도봉구 도봉로173길 35,서울특별시 도봉구 도봉제1동 587-17,127.041755,37.679659,2007-11-12,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-27-05,1,서울특별시 도봉구 시루봉로29길 26,서울특별시 도봉구 도봉제1동 617-2,127.043314,37.672475,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-23-05,1,서울특별시 도봉구 도봉로155길 24,서울특별시 도봉구 도봉제1동 605-24,127.042747,37.673136,2006-04-08,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-22-05,1,서울특별시 도봉구 도봉제1동 606-2,서울특별시 도봉구 도봉제1동 606-2,127.040631,37.672985,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-06-05,1,서울특별시 도봉구 도봉제1동 570-13,서울특별시 도봉구 도봉제1동 570-13,127.045278,37.685376,2006-05-09,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-11-05,1,서울특별시 도봉구 도봉제1동 580,서울특별시 도봉구 도봉제1동 580,127.043491,37.682907,2006-05-16,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-03-05,1,서울특별시 도봉구 도봉산길 43,서울특별시 도봉구 도봉제1동 554-16,127.040871,37.686885,2007-12-27,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-28-05,1,서울특별시 도봉구 도봉제1동 612-6,서울특별시 도봉구 도봉제1동 612-6,127.041402,37.671065,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-15-05,2,서울특별시 도봉구 도봉로167길 51,서울특별시 도봉구 도봉제1동 598-1,127.04171,37.677768,2006-12-07,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-07-05,1,서울특별시 도봉구 도봉제1동 562-25,서울특별시 도봉구 도봉제1동 562-25,127.04544,37.682608,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-01-05,1,서울특별시 도봉구 도봉제1동 351,서울특별시 도봉구 도봉제1동 351,127.041175,37.69052,2007-09-17,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-16-05,1,서울특별시 도봉구 도봉로173길 15,서울특별시 도봉구 도봉제1동 585-3,127.042715,37.680414,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-18-05,1,서울특별시 도봉구 도봉로173다길 6-7,서울특별시 도봉구 도봉제1동 427-118,127.039891,37.678992,2007-08-31,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-19-05,1,서울특별시 도봉구 도봉제1동 537-1,서울특별시 도봉구 도봉제1동 537-1,127.020066,37.674101,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-24-05,1,서울특별시 도봉구 도봉제1동 616-31,서울특별시 도봉구 도봉제1동 616-31,127.042823,37.673004,2006-04-12,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-21-05,1,서울특별시 도봉구 도봉제1동 601-27,서울특별시 도봉구 도봉제1동 601-27,127.043678,37.675216,2006-04-08,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-12-05,1,서울특별시 도봉구 도봉로169가길 22,서울특별시 도봉구 도봉제1동 583-2,127.043554,37.68063,2007-07-26,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-09-05,1,서울특별시 도봉구 도봉제1동 576-36,서울특별시 도봉구 도봉제1동 576-36,127.042467,37.683947,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-04-05,1,서울특별시 도봉구 도봉제1동 572-10,서울특별시 도봉구 도봉제1동 572-10,127.042249,37.68573,2008-01-30,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-08-05,1,서울특별시 도봉구 도봉제1동 567-5,서울특별시 도봉구 도봉제1동 567-5,127.043595,37.683625,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-05-05,1,서울특별시 도봉구 도봉산1길 19,서울특별시 도봉구 도봉제1동 559-9,127.045247,37.68652,2006-10-20,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
14-26-05,1,서울특별시 도봉구 시루봉로27가길 19,서울특별시 도봉구 도봉제1동 613-10,127.041589,37.671848,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-16-03,1,서울특별시 도봉구 쌍문제3동 103-106,서울특별시 도봉구 쌍문제3동 103-106,127.031527,37.644654,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-01-03,1,서울특별시 도봉구 도봉로 503-7,서울특별시 도봉구 쌍문제3동 88-120,127.035389,37.650757,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-13-03,1,서울특별시 도봉구 쌍문제3동 375-24,서울특별시 도봉구 쌍문제3동 375-24,127.025531,37.64652,2007-11-21,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-15-03,1,서울특별시 도봉구 도봉로103길21,서울특별시 도봉구 쌍문제3동 103-244,127.030831,37.645082,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-17-03,1,서울특별시 도봉구 쌍문제3동 103-53,서울특별시 도봉구 쌍문제3동 103-53,127.031631,37.646883,2007-11-26,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-02-03,1,서울특별시 도봉구 쌍문제3동 143-46,서울특별시 도봉구 쌍문제3동 143-46,127.033541,37.650816,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-07-03,1,서울특별시 도봉구 쌍문제3동 315-18,서울특별시 도봉구 쌍문제3동 315-18,127.030402,37.64883,2006-11-03,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-08-20,1,서울특별시 도봉구 도봉로113가길 19-1,서울특별시 도봉구 쌍문제3동 120-16,127.032261,37.649415,2006-03-17,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-10-20,1,서울특별시 도봉구 쌍문제3동 123-71,서울특별시 도봉구 쌍문제3동 123-71,127.031067,37.64749,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-11-20,1,서울특별시 도봉구 쌍문제3동 340-6,서울특별시 도봉구 쌍문제3동 340-6,127.027786,37.648524,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-17-21,1,서울특별시 도봉구 쌍문제3동 103-9,서울특별시 도봉구 쌍문제3동 103-9,127.031891,37.645604,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-09-21,1,서울특별시 도봉구 쌍문제3동 98-35,서울특별시 도봉구 쌍문제3동 98-35,127.032774,37.64824,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-02-21,1,서울특별시 도봉구 노해로48길 106-11,서울특별시 도봉구 쌍문제3동,127.033981,37.650123,2015-07-06,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-03-21,1,서울특별시 도봉구 쌍문제3동 138-124,서울특별시 도봉구 쌍문제3동 138-124,127.032086,37.649975,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-16-21,1,서울특별시 도봉구 도봉로 417,서울특별시 도봉구 쌍문제3동 103-249,127.029879,37.644316,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-11-21,1,서울특별시 도봉구 쌍문제3동 380-13,서울특별시 도봉구 쌍문제3동 380-13,127.027843,37.648356,2006-07-06,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-01-21,1,서울특별시 도봉구 도봉로 495,서울특별시 도봉구 쌍문제3동 88-56,127.035033,37.649718,2015-09-15,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-04-21,1,서울특별시 도봉구 쌍문제3동 139-82,서울특별시 도봉구 쌍문제3동 139-82,127.030898,37.650235,2007-05-23,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-06-21,1,서울특별시 도봉구 쌍문동 330-2,서울특별시 도봉구 쌍문제3동 330-2,127.028257,37.649135,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-08-21,1,서울특별시 도봉구 도봉로117길 51-12,서울특별시 도봉구 쌍문제3동 120-27,127.032102,37.649307,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-10-21,1,서울특별시 도봉구 쌍문제3동 123-14,서울특별시 도봉구 쌍문제3동 123-14,127.030919,37.648194,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-19-21,1,서울특별시 도봉구 쌍문제3동 94-36,서울특별시 도봉구 쌍문제3동 94-36,127.033206,37.648505,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-10-22,1,서울특별시 도봉구 쌍문제3동 123-12,서울특별시 도봉구 쌍문제3동 123-12,127.031118,37.648253,2008-04-18,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-19-22,1,서울특별시 도봉구 쌍문제3동 94-56,서울특별시 도봉구 쌍문제3동 94-56,127.033011,37.648463,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-16-22,1,서울특별시 도봉구 쌍문제3동 103-127,서울특별시 도봉구 쌍문제3동 103-127,127.030502,37.644365,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-04-22,1,서울특별시 도봉구 노해로48길 83-5,서울특별시 도봉구 쌍문제3동 139-7,127.030867,37.650496,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-08-22,1,서울특별시 도봉구 쌍문제3동 120-29,서울특별시 도봉구 쌍문제3동 120-29,127.032132,37.649081,2008-01-01,통신주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-03-22,1,서울특별시 도봉구 쌍문제3동 138-128,서울특별시 도봉구 쌍문제3동 138-128,127.031993,37.650335,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-02-22,1,서울특별시 도봉구 쌍문제3동 141-45,서울특별시 도봉구 쌍문제3동 141-45,127.03381,37.64996,2016-05-16,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-06-22,1,서울특별시 도봉구 노해로44길 17-18,서울특별시 도봉구 쌍문제3동 315-121,127.028156,37.649536,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-09-22,1,서울특별시 도봉구 쌍문제3동 98-37,서울특별시 도봉구 쌍문제3동 98-37,127.032672,37.648079,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-17-22,1,서울특별시 도봉구 우이천로24길 42,서울특별시 도봉구 쌍문제3동 103-244,127.031715,37.645307,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-11-22,1,서울특별시 도봉구 쌍문제3동 315-216,서울특별시 도봉구 쌍문제3동 315-216,127.028447,37.648623,2008-01-01,통신주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-02-23,1,서울특별시 도봉구 쌍문제3동 141-37,서울특별시 도봉구 쌍문제3동 141-37,127.033947,37.650345,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-09-23,1,서울특별시 도봉구 쌍문제3동 98-34,서울특별시 도봉구 쌍문제3동 98-34,127.033008,37.648156,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-03-23,1,서울특별시 도봉구 쌍문제3동 138-146,서울특별시 도봉구 쌍문제3동 138-146,127.031765,37.650319,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-06-23,1,서울특별시 도봉구 쌍문제3동 315-92,서울특별시 도봉구 쌍문제3동 315-92,127.02853,37.649496,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-04-23,1,서울특별시 도봉구 쌍문제3동 139-86,서울특별시 도봉구 쌍문제3동 139-86,127.030989,37.650062,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-16-23,1,서울특별시 도봉구 쌍문제3동 103-129,서울특별시 도봉구 쌍문제3동 103-129,127.030637,37.644623,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-08-23,1,서울특별시 도봉구 도봉로117길 51-18,서울특별시 도봉구 쌍문제3동 120-30,127.032147,37.648964,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
03-17-23,1,서울특별시 도봉구 쌍문제3동 142-16,서울특별시 도봉구 쌍문제3동 142-16,127.031778,37.644835,2007-10-19,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-01-14,1,서울특별시 도봉구 창제3동 552-86,서울특별시 도봉구 창제3동 552-86,127.037996,37.636769,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-10-14,1,서울특별시 도봉구 덕릉로60마길5-3,서울특별시 도봉구 창제3동 538-3,127.040413,37.637483,2006-04-14,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-06-14,1,서울특별시 도봉구 창제3동 536-14,서울특별시 도봉구 창제3동 536-14,127.039284,37.63625,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-03-14,1,서울특별시 도봉구 창제3동 449-82,서울특별시 도봉구 창제3동 449-82,127.040777,37.64031,2006-09-22,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-08-14,1,서울특별시 도봉구 덕릉로60바길 26,서울특별시 도봉구 창제3동 451-13,127.041456,37.638997,2013-12-17,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-07-14,1,서울특별시 도봉구 덕릉로60나길16-10,서울특별시 도봉구 창제3동 448-48,127.041252,37.639654,2013-10-16,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-11-14,1,서울특별시 도봉구 창제3동 529-3,서울특별시 도봉구 창제3동 529-3,127.040074,37.635409,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-12-14,1,서울특별시 도봉구 창제3동 471-5,서울특별시 도봉구 창제3동 471-5,127.040892,37.635949,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-13-14,1,서울특별시 도봉구 덕릉로60길 135-7,서울특별시 도봉구 창제3동 474-7,127.04321,37.63477,2006-10-23,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-15-14,1,서울특별시 도봉구 창제3동 480-21,서울특별시 도봉구 창제3동 480-21,127.041163,37.635191,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-17-14,1,서울특별시 도봉구 우이천로8길12,서울특별시 도봉구 창제3동 522-4,127.039301,37.634844,2013-12-17,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-02-15,1,서울특별시 도봉구 덕릉로54가길 26,서울특별시 도봉구 창제3동 557-47,127.038895,37.638367,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-01-15,1,서울특별시 도봉구 창제3동 552-84,서울특별시 도봉구 창제3동 552-84,127.038272,37.636575,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-09-15,1,서울특별시 도봉구 덕릉로60나길20,서울특별시 도봉구 창제3동 461-12,127.042283,37.638429,2013-10-16,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-15-15,1,서울특별시 도봉구 창제3동 476-17,서울특별시 도봉구 창제3동 476-17,127.041023,37.635285,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-12-15,1,서울특별시 도봉구 창제3동 471-1,서울특별시 도봉구 창제3동 471-1,127.041415,37.636083,2008-01-01,통신주,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-06-15,1,서울특별시 도봉구 창제3동 547-11,서울특별시 도봉구 창제3동 547-11,127.038814,37.636364,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-10-15,1,서울특별시 도봉구 덕릉로60길49-1,서울특별시 도봉구 창제3동 453-1,127.040617,37.638033,2013-12-16,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-03-15,1,서울특별시 도봉구 창제3동 568-33,서울특별시 도봉구 창제3동 568-33,127.040531,37.640461,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-07-15,1,서울특별시 도봉구 창제3동 448-49,서울특별시 도봉구 창제3동 448-49,127.041544,37.639464,2007-10-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-08-15,1,서울특별시 도봉구 덕릉로60바길20,서울특별시 도봉구 창제3동 452-62,127.041263,37.638753,2013-12-17,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-11-15,1,서울특별시 도봉구 창제3동 528-45,서울특별시 도봉구 창제3동 528-45,127.039792,37.635347,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-16-15,1,서울특별시 도봉구 우이천로4다길 21-3,서울특별시 도봉구 창제3동 479-19,127.040559,37.634816,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-13-15,1,서울특별시 도봉구 덕릉로60길 135-62,서울특별시 도봉구 창제3동 492-54,127.043357,37.634527,2006-05-17,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
11-17-15,1,서울특별시 도봉구 창제3동 522-19,서울특별시 도봉구 창제3동 522-19,127.039374,37.63454,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
01-18-17,1,서울특별시 도봉구 쌍문제1동 505-10,서울특별시 도봉구 쌍문제1동 505-10,127.013812,37.654267,2008-01-01,전용주,02-2091-4083,서울특별시 도봉구청,2017-05-17
01-23-17,1,서울특별시 도봉구 쌍문제1동 523-3,서울특별시 도봉구 쌍문제1동 523-3,127.017282,37.65704,2008-01-01,전용주,02-2091-4083,서울특별시 도봉구청,2017-05-17
01-17-17,1,서울특별시 도봉구 쌍문제1동 423-18,서울특별시 도봉구 쌍문제1동 423-18,127.013272,37.65158,2007-02-22,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
01-22-17,1,서울특별시 도봉구 쌍문제1동 23-16,서울특별시 도봉구 쌍문제1동 23-16,127.019018,37.656701,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
01-15-17,1,서울특별시 도봉구 쌍문제1동 431-7,서울특별시 도봉구 쌍문제1동 431-7,127.01787,37.653247,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
01-07-17,1,서울특별시 도봉구 쌍문제1동 414-186,서울특별시 도봉구 쌍문제1동 414-186,127.019407,37.649174,2008-01-01,전용주,02-2091-4083,서울특별시 도봉구청,2017-05-17
01-01-18,1,서울특별시 도봉구 노해로41나길 4-2,서울특별시 도봉구 쌍문제1동 309-54,127.026334,37.649867,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
01-17-18,1,서울특별시 도봉구 쌍문제1동 423-7,서울특별시 도봉구 쌍문제1동 423-7,127.013676,37.651635,2008-01-09,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
01-11-18,1,서울특별시 도봉구 우이천로38라길 38,서울특별시 도봉구 쌍문제1동 460-307,127.023899,37.653435,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-12-04,1,서울특별시 도봉구 도봉로127길 42,서울특별시 도봉구 쌍문제2동 75-89,127.034738,37.654431,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-03-05,1,서울특별시 도봉구 도봉로135길53,서울특별시 도봉구 쌍문제2동 712-40,127.03911,37.660196,2013-10-18,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
